invoice_month,account_id,subscription,service,resource_group,resource_id,region,usage_qty,unit_cost,cost,owner,env,tags_json,optimization_score
2024-03-01,ACC-396,Sub-Dev,EKS,RG-5,ec0e889f-aedc-4a6a-91dd-304e5bfaae11,asia-south-1,3730,0.4135434017622629,1542.5168885732405,charlie,prod,"{'Project': 'P-5', 'CostCenter': 'CC-50'}",0.2
2024-07-01,ACC-641,Sub-Prod,EKS,RG-7,8c3f18ae-f1cc-42d2-9121-1bb2b7b3f042,us-east-1,4080,0.047579990229763364,194.12636013743452,bob,prod,"{'Project': 'P-5', 'CostCenter': 'CC-32'}",0.59
2024-01-01,ACC-377,Sub-Prod,GCP Compute,RG-7,8fd73b90-3220-47d7-8815-4f46569f5ff6,us-east-1,597,0.2075950450979065,123.93424192345017,bob,dev,"{'Project': 'P-3', 'CostCenter': 'CC-39'}",0.21
2024-06-01,ACC-821,Sub-Test,EC2,RG-9,9c530821-2577-4c90-97b7-a8444ef365f3,us-west-2,2532,0.46641600177232523,1180.9653164875274,,staging,"{'Project': 'P-3', 'CostCenter': 'CC-40'}",0.76
2024-05-01,ACC-990,Sub-Dev,S3,RG-4,a18d40cd-a8c3-4cef-8080-4b9d909d8e9a,asia-south-1,1402,0.29180581154651375,409.11174778821226,bob,staging,"{'Project': 'P-3', 'CostCenter': 'CC-30'}",0.47
2024-01-01,ACC-454,Sub-Prod,GCP Compute,RG-5,e5fd1276-58c9-43c1-a7f7-b99bee3f6524,us-east-1,3130,0.3541598877844292,1108.5204487652634,bob,prod,"{'Project': 'P-1', 'CostCenter': 'CC-29'}",0.69
2024-05-01,ACC-556,Sub-Dev,RDS,RG-5,872d37e7-a062-45e0-b289-9a9abd285bae,us-west-2,2560,0.24517805864243708,627.6558301246389,alice,prod,"{'Project': 'P-2', 'CostCenter': 'CC-38'}",0.6
2024-01-01,ACC-293,Sub-Dev,GCP Compute,RG-7,34207cc5-98e5-4631-9dee-bf16404af1ec,eu-central-1,2872,0.46227595786798575,1327.656550996855,bob,prod,"{'Project': 'P-3', 'CostCenter': 'CC-18'}",0.26
2024-01-01,ACC-506,Sub-Test,Azure VM,RG-8,59ed67e3-6b45-4184-863a-4d1f8e9df3a9,us-east-1,4048,0.039256195851700516,158.9090808076837,alice,dev,"{'Project': 'P-4', 'CostCenter': 'CC-28'}",0.5
2024-06-01,ACC-674,Sub-Dev,EC2,RG-3,dea01c7e-760b-4178-8f17-f6e26dc7d504,asia-south-1,137,0.3178149010633281,43.54064144567595,charlie,staging,"{'Project': 'P-3', 'CostCenter': 'CC-15'}",0.36
2024-03-01,ACC-789,Sub-Prod,EC2,RG-5,45ad5137-8991-4866-8fc6-b5366f28308a,asia-south-1,4825,0.3377353828663768,1629.573222330268,,staging,"{'Project': 'P-3', 'CostCenter': 'CC-18'}",0.44
2024-04-01,ACC-297,Sub-Dev,EC2,RG-2,a1f02f54-a19a-4b6d-a4e0-e647ad6a01a9,us-west-2,1634,0.18020419112283306,294.45364829470924,bob,dev,"{'Project': 'P-1', 'CostCenter': 'CC-10'}",0.22
2024-01-01,ACC-517,Sub-Test,Lambda,RG-10,0ef54536-7ea4-4b02-b6a1-b6b5e271c7ff,us-east-1,4615,0.2521424282197054,1163.6373062339403,bob,prod,"{'Project': 'P-3', 'CostCenter': 'CC-49'}",0.64
